No,kelas,kategori,target_bulan,materi
309,SMA 2,Materi Dasar Keagamaan,Januari,Mandi Junub
310,SMA 2,Akhlaq,Januari - Maret,Masyarakat
311,SMA 2,Praktik Ibadah,Oktober - Desember,Mempraktikkan doa-doa yang telah dihafal
312,SMA 2,Praktik Ibadah,April - Juni,Mempraktikkan doa-doa yang telah dihafal
313,SMA 2,Praktik Ibadah,Juli - September,Mempraktikkan puasa sunah
314,SMA 2,Praktik Ibadah,Januari - Maret,Mempraktikkan puasa sunah
315,SMA 2,Baca Huruf Quran,Juli - Juni,Menderes Harian
316,SMA 2,Hafalan Doa Harian,Juli - Juni,menerampilkan hafalan do'a pada jenjang sebelumnya
317,SMA 2,Adab/ Tatakrama,Agustus,Menghormati guru dan mubaligh-mubalighot
318,SMA 2,Adab/ Tatakrama,Juli,Menghormati yang lebih tua dan menyayangi yang muda
319,SMA 2,Materi Dasar Keagamaan,Agustus,Pengertian Qur’an Hadits Jama’ah
320,SMA 2,Materi Dasar Keagamaan,November,Pengetahuan hukum halal-haram
321,SMA 2,Materi Dasar Keagamaan,Oktober,Pengetahuan wajibnya taat dan haromnya maksiat
322,SMA 2,Akhlaq,Juli - Agustus,Pribadi
323,SMA 2,Materi Dasar Keagamaan,April,Puasa Romadlon
324,SMA 2,Materi Dasar Keagamaan,Mei,Puasa Sunnah
325,SMA 2,Materi Dasar Keagamaan,Juli,"Rukun iman, rukun islam dan ihsan"
326,SMA 2,Materi Dasar Keagamaan,Maret,"Sholat sunnah rowatib, dhuha, tahajjud dan tasbih"
327,SMA 2,Hafalan Surat Al Qur'an,Maret - April,Surat Al Kahfi 1-10
328,SMA 2,Hafalan Surat Al Qur'an,Juli - Agustus,Surat Al Mu’minun 1-11
329,SMA 2,Hafalan Surat Al Qur'an,Januari - Februari,Surat Al Mu’minun 115-118
330,SMA 2,Adab/ Tatakrama,Juli,Ta'dhim dan berbuat baik kepada orang tua
331,SMA 2,Adab/ Tatakrama,April,Tata krama bersepeda
332,SMA 2,Adab/ Tatakrama,Mei,Tata krama ketika makan bersama
333,SMA 2,Adab/ Tatakrama,Juni,Tata krama mencari ilmu
334,SMA 2,Adab/ Tatakrama,Maret,Terhadap Kerabat
335,SMA 2,Adab/ Tatakrama,November,Terhadap Lingkungan Dan Alam Sekitar
336,SMA 2,Adab/ Tatakrama,Maret,Terhadap Tetangga
337,SMA 2,Adab/ Tatakrama,November,Terhadap Ulil Amri
338,SMA 2,Materi Dasar Keagamaan,Desember,Thaharah dan Sholat
339,SMA 2,Adab/ Tatakrama,Januari,Tidur
340,SMA 2,Akhlaq,November - Desember,"Ulil Amri, Guru, dan Mubaligh-Mubalighot"
341,SMA 3,Materi Dasar Keagamaan,Juni,Aurat
342,SMA 3,Adab/ Tatakrama,September,Bergaul dengan teman
343,SMA 3,Adab/ Tatakrama,Januari,Berpakaian
344,SMA 3,Adab/ Tatakrama,Desember,Bertamu/Diajak Bertamu Dan Kedatangan Tamu
345,SMA 3,Mandiri,Agustus,Dalam Keluarga
346,SMA 3,Mandiri,Februari,Dalam Keluarga
347,SMA 3,Hafalan Surat Al Qur'an,Mei - Juni,Dalil 5 Syarat Kerukunan 2
348,SMA 3,Hafalan Surat Al Qur'an,September - Desember,Dalil 6 Thobiat Luhur 2
349,SMA 3,Hafalan Surat Al Qur'an,Maret - April,Dalil Wajibnya Berjama’ah 4
350,SMA 3,Materi Dasar Keagamaan,Juli,Dasar Aqidah
351,SMA 3,Materi Dasar Keagamaan,Februari,"Hukum haid, mani, madzi dan wadhi"
